published_at,body,location,tags,title,slug,timecode,place
2013-12-19,Whiteface Lodge benefit for US Sliders,,"Morgan Tracey, Annie O’Shea",December 19,12-19,5m 52s,
2013-12-20,Riley hanging out. ,,Riley,December 20,12-20,5m 53s,
2013-12-21,Mom putting together a puzzle,,Mom,December 21,12-21,5m 54s,
2013-12-22,Jersey Boys in Philadelphia performing Big Girls Dont’ Cry,"Philadelphia, PA. Forest Theater",,December 22,12-22,5m 55s,
2013-12-23,Making homemade chicken fingers,,Mom,December 23,12-23,5m 56s,
2013-12-24,Christmas Eve Dinner,,"Mom, Dad, Phillip, Remington, Riley",December 24,12-24,5m 57s,
2013-12-25,Damn Dog eating wrapping paper,,Riley,December 25,12-25,5m 58s,
2013-12-26,Playing Castle Ravenloft,,,December 26,12-26,5m 59s,
2013-12-27,Dinner with friends at Siam,"Lambertville, NJ","Matt Wiley, Lauren, Alex Palilonis, Brian Servidio",December 27,12-27,6m 0s,
2013-12-28,Interior of United 767-400,EWR,,December 28,12-28,6m 1s,
2013-12-29,Matt eating lunch at the Hotel Winterberg,,Matt Antoine,December 29,12-29,6m 2s,
2013-12-30,John's bobsled mind run,"Winterberg, Germany","Jazmine Fenlator, Elana Meyers, John Daly",December 30,12-30,6m 3s,
2013-12-31,Toast to 2014,Winterberg,"John Daly, Matt Antoine, Chris Fogt",December 31,12-31,6m 4s,
